ST_PUMA,ST_CO_PUMA
3601101,3601100
3601102,3601100
3601201,3601200
3601202,3601200
3601203,3601200
3601204,3601200
3601205,3601200
3601206,3601200
3601207,3601200
3601300,3601300
3601500,3601500
3601600,3601600
3601700,3601700
3601801,3601800
3601802,3601800
3601900,3601900
3602001,3602000
3602002,3602000
3602100,3602100
3602201,3602205
3602204,3602205
3602300,3602300
3602403,3602405
3602404,3602405
3602500,3602500
3602600,3602600
3602701,3602703
3602702,3602703
3602803,3602806
3602804,3602806
3602805,3602806
3602901,3602900
3602902,3602900
3602903,3602900
3603001,3603000
3603002,3603000
3603003,3603000
3603102,3603100
3603103,3603100
3603110,3603100
3603111,3603100
3603112,3603100
3603113,3603100
3603114,3603100
3603201,3603200
3603202,3603200
3603203,3603200
3603204,3603200
3603205,3603200
3603206,3603200
3603207,3603200
3603208,3603200
3603209,3603200
3603210,3603200
3603211,3603200
3603212,3603200
3603301,3603300
3603302,3603300
3603303,3603300
3603304,3603300
3603305,3603300
3603306,3603300
3603307,3603300
3603308,3603300
3603309,3603300
3603310,3603300
3603311,3603300
3603312,3603300
3603313,3603300
3604103,3604100
3604104,3604100
3604107,3604100
3604108,3604100
3604109,3604100
3604110,3604100
3604111,3604100
3604112,3604100
3604121,3604100
3604165,3604100
3604204,3604200
3604205,3604200
3604207,3604200
3604208,3604200
3604209,3604200
3604210,3604200
3604211,3604200
3604212,3604200
3604221,3604200
3604263,3604200
3604301,3604300
3604302,3604300
3604303,3604300
3604304,3604300
3604305,3604300
3604306,3604300
3604307,3604300
3604308,3604300
3604309,3604300
3604310,3604300
3604311,3604300
3604312,3604300
3604313,3604300
3604314,3604300
3604315,3604300
3604316,3604300
3604317,3604300
3604318,3604300
3604401,3604400
3604402,3604400
3604403,3604400
3604404,3604400
3604405,3604400
3604406,3604400
3604407,3604400
3604408,3604400
3604409,3604400
3604410,3604400
3604411,3604400
3604412,3604400
3604413,3604400
3604414,3604400
3604501,3604500
3604502,3604500
3604503,3604500
3700100,3700100
3700200,3700200
3700300,3700300
3700400,3700400
3700500,3700500
3700600,3700600
3700700,3700700
3700800,3700800
3700900,3700900
3701001,3701090
3701101,3701090
3701201,3701200
3701202,3701200
3701203,3701200
3701204,3701200
3701205,3701200
3701206,3701200
3701207,3701200
3701208,3701200
3701301,3701300
3701302,3701300
3701400,3701400
3701500,3701500
3701600,3701600
3701701,3701700
3701702,3701700
3701703,3701700
3701704,3701700
3701801,3701800
3701802,3701800
3701803,3701800
3701900,3701990
3702900,3701990
3702000,3702000
3702100,3702100
3702201,3702200
3702202,3702200
3702300,3702300
3702400,3702400
3702500,3702500
3702600,3702690
3702700,3702690
3702800,3702800
3703001,3703000
3703002,3703000
3703101,3703100
3703102,3703100
3703103,3703100
3703104,3703100
3703105,3703100
3703106,3703100
3703107,3703100
3703108,3703100
3703200,3703290
3703300,3703290
3703400,3703400
3703500,3703500
3703600,3703600
3703700,3703700
3703800,3703800
3703900,3703900
3704000,3704000
3704101,3704190
3704501,3704190
3704200,3704200
3704300,3704300
3704601,3704690
3704701,3704690
3704800,3704800
3704900,3704900
3705001,3705000
3705002,3705000
3705003,3705000
